alfa-romeo;147 (43);none
alfa-romeo;159 (173);none
alfa-romeo;Giulia (217);none
alfa-romeo;Giulietta (265);none
alfa-romeo;GT (25);none
alfa-romeo;Mito (129);none
alfa-romeo;Stelvio (317);none
alfa-romeo;Tonale (151);none
audi;200 (25);none
audi;80 (38);B1 (1972-1978) (0)
audi;80 (38);B2 (1978-1986) (4)
audi;80 (38);B3 (1986-1991) (11)
audi;80 (38);B4 (1991-1995) (22)
audi;A1 (242);none
audi;A2 (37);none
audi;A3 (2174);8L (1996-2003) (98)
audi;A3 (2174);8P (2003-2012) (1066)
audi;A3 (2174);8V (2012-) (704)
audi;A3 (2174);8Y (2020 - ) (279)
audi;A4 Allroad (227);none
audi;A5 (1124);8T (2007-2016) (622)
audi;A5 (1124);F5 (2016-) (482)
audi;A6 (3114);C4 (1994-1997) (12)
audi;A6 (3114);C5 (1997-2004) (165)
audi;A6 (3114);C6 (2004-2011) (707)
audi;A6 (3114);C7 (2011-2018) (1260)
audi;A6 (3114);C8 (2018-) (928)
audi;A6 Allroad (233);C5 (1999-2005) (11)
audi;A6 Allroad (233);C6 (2006-2011) (29)
audi;A6 Allroad (233);C7 (2012-) (118)
audi;A6 Allroad (233);C8 (2019-) (73)
audi;A7 (477);C7 (2011-2018) (213)
audi;A7 (477);C8 (2018-) (255)
audi;A8 (496);D2 (1994-2002) (23)
audi;A8 (496);D3 (2002-2010) (106)
audi;A8 (496);D4 (2010-) (221)
audi;A8 (496);D5 (2017-) (141)
audi;Coupe (40);none
audi;e-tron (138);none
audi;e-tron GT (48);none
audi;Q2 (141);none
audi;Q3 (707);none
audi;Q3 Sportback (103);none
audi;Q4 (32);none
audi;Q4 Sportback (24);none
audi;Q5 (1438);8R (2008-2016) (736)
audi;Q5 (1438);FY (2017-) (679)
audi;Q5 Sportback (86);none
audi;Q7 (581);I (2005-2015) (190)
audi;Q7 (581);II (2015-) (378)
audi;Q8 (270);none
audi;R8 (38);none
audi;RS Q3 (70);none
audi;RS Q8 (32);none
audi;RS3 (187);none
audi;RS4 (26);none
audi;RS5 (70);none
audi;RS6 (68);none
audi;RS7 (40);none
audi;S3 (219);8L (1996-2003) (7)
audi;S3 (219);8P (2003-2012) (24)
audi;S3 (219);8V (2012-2020) (88)
audi;S3 (219);8Y (2020-) (101)
audi;S4 (86);B5 (1995-2001) (2)
audi;S4 (86);B6 (2000-2004) (6)
audi;S4 (86);B7 (2004-2007) (3)
audi;S4 (86);B8 (2007-2015) (41)
audi;S4 (86);B9 (2015-) (32)
audi;S5 (129);none
audi;S6 (102);C4 (1994-1997) (3)
audi;S6 (102);C5 (1997-2004) (19)
audi;S6 (102);C6 (2004-2011) (9)
audi;S6 (102);C7 (2011-2018) (23)
audi;S6 (102);C8 (2018-) (47)
audi;S7 (46);C7 (2011-2018) (21)
audi;S7 (46);C8 (2018-) (25)
audi;S8 (61);D2 (1994-2002) (4)
audi;S8 (61);D3 (2002-2010) (10)
audi;S8 (61);D4 (2010-2017) (25)
audi;S8 (61);D5 (2017-) (22)
audi;SQ5 (109);none
audi;SQ7 (86);none
audi;SQ8 (60);none
audi;TT (135);8J (2006-2013) (48)
audi;TT (135);8N (1998-2006) (44)
audi;TT (135);8S (2014-) (40)
bentley;Bentayga (22);none
bentley;Continental GT (54);none
bmw;3GT (262);F34 (2013-2021) (258)
bmw;5GT (90);none
bmw;6GT (44);none
bmw;i3 (171);none
